SA2_MAINCODE_2016,GCCSA_NAME_2016,SA2_NAME_2016,STATE_NAME_2016,ADRESS,LAT,LNG
313021369,Greater Brisbane,Wamuran,Queensland,"Wamuran, Queensland",-27.0397032,152.8638936
313031370,Greater Brisbane,Kilcoy,Queensland,"Kilcoy, Queensland",-26.9430777,152.5641511
313031371,Greater Brisbane,Woodford - D'Aguilar,Queensland,"Woodford - D'Aguilar, Queensland",-26.9544679,152.7783683
313041372,Greater Brisbane,Burpengary,Queensland,"Burpengary, Queensland",-27.1615373,152.958072
313041373,Greater Brisbane,Deception Bay,Queensland,"Deception Bay, Queensland",-27.1900809,153.0172028
313041374,Greater Brisbane,Morayfield,Queensland,"Morayfield, Queensland",-27.1053809,152.9476706
313041375,Greater Brisbane,Narangba,Queensland,"Narangba, Queensland",-27.1837292,152.9425694
313041376,Greater Brisbane,Upper Caboolture,Queensland,"Upper Caboolture, Queensland",-27.1066423,152.9144649
313051377,Greater Brisbane,Clontarf,Queensland,"Clontarf, Queensland",-27.2472803,153.0827328
313051378,Greater Brisbane,Margate - Woody Point,Queensland,"Margate - Woody Point, Queensland",-27.2544894,153.1018278
313051379,Greater Brisbane,Redcliffe,Queensland,"Redcliffe, Queensland",-27.2301911,153.1096112
313051380,Greater Brisbane,Rothwell - Kippa-Ring,Queensland,"Rothwell - Kippa-Ring, Queensland",-27.2262847,153.0845367
313051542,Greater Brisbane,Scarborough - Newport - Moreton Island,Queensland,"Scarborough - Newport - Moreton Island, Queensland",-27.178901,153.3730896
314011382,Greater Brisbane,Albany Creek,Queensland,"Albany Creek, Queensland",-27.3455088,152.9684103
314011383,Greater Brisbane,Cashmere,Queensland,"Cashmere, Queensland",-27.3013588,152.9272871
314011384,Greater Brisbane,Dayboro,Queensland,"Dayboro, Queensland",-27.1970919,152.8226676
314011385,Greater Brisbane,Eatons Hill,Queensland,"Eatons Hill, Queensland",-27.3418551,152.9491767
314011386,Greater Brisbane,The Hills District,Queensland,"The Hills District, Queensland",37.09024,-95.712891
314011387,Greater Brisbane,Samford Valley,Queensland,"Samford Valley, Queensland",-27.3689092,152.8526773
314021388,Greater Brisbane,Dakabin - Kallangur,Queensland,"Dakabin - Kallangur, Queensland",-27.2267702,152.9825314
314021389,Greater Brisbane,Murrumba Downs - Griffin,Queensland,"Murrumba Downs - Griffin, Queensland",-27.267116,153.009033
314021390,Greater Brisbane,North Lakes - Mango Hill,Queensland,"North Lakes - Mango Hill, Queensland",-27.220025,153.0054444
314031391,Greater Brisbane,Bray Park,Queensland,"Bray Park, Queensland",-27.2970689,152.9677896
314031392,Greater Brisbane,Lawnton,Queensland,"Lawnton, Queensland",-27.2822985,152.9771433
314031393,Greater Brisbane,Petrie,Queensland,"Petrie, Queensland",-27.2593456,152.963631
314031394,Greater Brisbane,Strathpine - Brendale,Queensland,"Strathpine - Brendale, Queensland",-27.3264861,152.9796004
